,Player,Nation,Competition,Club,Age,Pos
0,André Onana,cm CMR,Premier League,Manchester United,27,GK
1,Bruno Fernandes,pt POR,Premier League,Manchester United,29,"MF,FW"
2,Diogo Dalot,pt POR,Premier League,Manchester United,24,DF
3,Marcus Rashford,eng ENG,Premier League,Manchester United,26,FW
4,Alejandro Garnacho,ar ARG,Premier League,Manchester United,19,FW
5,Rasmus Højlund,dk DEN,Premier League,Manchester United,20,FW
6,Scott McTominay,sct SCO,Premier League,Manchester United,27,MF
7,Antony,br BRA,Premier League,Manchester United,23,FW
8,Victor Lindelöf,se SWE,Premier League,Manchester United,29,DF
9,Aaron Wan-Bissaka,eng ENG,Premier League,Manchester United,26,DF
10,Jonny Evans,nir NIR,Premier League,Manchester United,36,DF
11,Christian Eriksen,dk DEN,Premier League,Manchester United,31,MF
12,Harry Maguire,eng ENG,Premier League,Manchester United,30,DF
13,Raphaël Varane,fr FRA,Premier League,Manchester United,30,DF
14,Luke Shaw,eng ENG,Premier League,Manchester United,28,DF
15,Casemiro,br BRA,Premier League,Manchester United,31,MF
16,Sofyan Amrabat,ma MAR,Premier League,Manchester United,27,"MF,DF"
17,Kobbie Mainoo,eng ENG,Premier League,Manchester United,18,MF
18,Anthony Martial,fr FRA,Premier League,Manchester United,28,FW
19,Lisandro Martínez,ar ARG,Premier League,Manchester United,26,DF
20,Sergio Reguilón,es ESP,Premier League,Manchester United,27,DF
21,Mason Mount,eng ENG,Premier League,Manchester United,25,MF
22,Facundo Pellistri,uy URU,Premier League,Manchester United,22,"FW,MF"
23,Hannibal Mejbri,tn TUN,Premier League,Manchester United,20,"MF,FW"
24,Willy Kambwala,fr FRA,Premier League,Manchester United,19,DF
25,Jadon Sancho,eng ENG,Premier League,Manchester United,23,"FW,MF"
26,Amad Diallo,ci CIV,Premier League,Manchester United,21,FW
27,Donny van de Beek,nl NED,Premier League,Manchester United,26,DF
28,Daniel Gore,eng ENG,Premier League,Manchester United,19,MF
29,Altay Bayındır,tr TUR,Premier League,Manchester United,25,GK
30,Rhys Bennett,eng ENG,Premier League,Manchester United,20,DF
31,Álvaro Carreras,es ESP,Premier League,Manchester United,20,"DF,MF"
32,Omari Forson,eng ENG,Premier League,Manchester United,19,MF
33,Tom Heaton,eng ENG,Premier League,Manchester United,37,GK
34,Dean Henderson,eng ENG,Premier League,Manchester United,26,GK
35,Joe Hugill,eng ENG,Premier League,Manchester United,20,FW
36,Radek Vítek,N/I,Premier League,Manchester United,20,GK
37,Ethan Pinnock,jm JAM,Premier League,Brentford,30,DF
38,Vitaly Janelt,de GER,Premier League,Brentford,25,"MF,DF"
39,Mark Flekken,nl NED,Premier League,Brentford,30,GK
40,Christian Nørgaard,dk DEN,Premier League,Brentford,29,MF
41,Yoane Wissa,cd COD,Premier League,Brentford,27,FW
42,Bryan Mbeumo,cm CMR,Premier League,Brentford,24,FW
43,Nathan Collins,ie IRL,Premier League,Brentford,22,DF
44,Mathias Jensen,dk DEN,Premier League,Brentford,28,MF
45,Aaron Hickey,sct SCO,Premier League,Brentford,21,DF
46,Mads Roerslev,dk DEN,Premier League,Brentford,24,DF
47,Kristoffer Ajer,no NOR,Premier League,Brentford,25,DF
48,Ben Mee,eng ENG,Premier League,Brentford,34,DF
49,Saman Ghoddos,ir IRN,Premier League,Brentford,30,DF
50,Frank Onyeka,ng NGA,Premier League,Brentford,26,MF
51,Neal Maupay,fr FRA,Premier League,Brentford,27,FW
52,Keane Lewis-Potter,eng ENG,Premier League,Brentford,22,"FW,MF"
53,Rico Henry,eng ENG,Premier League,Brentford,26,DF
54,Yehor Yarmoliuk,ua UKR,Premier League,Brentford,19,MF
55,Kevin Schade,de GER,Premier League,Brentford,22,"FW,MF"
56,Shandon Baptiste,gd GRN,Premier League,Brentford,25,MF
57,Mathias Jørgensen,dk DEN,Premier League,Brentford,33,DF
58,Mikkel Damsgaard,dk DEN,Premier League,Brentford,23,MF
59,Thomas Strakosha,al ALB,Premier League,Brentford,28,GK
60,Michael Olakigbe,eng ENG,Premier League,Brentford,19,"DF,FW"
61,Myles Peart-Harris,eng ENG,Premier League,Brentford,21,"DF,MF"
62,Josh Dasilva,eng ENG,Premier League,Brentford,25,MF
63,Val Adedokun,ie IRL,Premier League,Brentford,20,FW
64,Vincent Angelini,sct SCO,Premier League,Brentford,20,GK
65,Ellery Balcombe,eng ENG,Premier League,Brentford,24,GK
66,Ethan Brierley,eng ENG,Premier League,Brentford,20,MF
67,Charlie Goode,eng ENG,Premier League,Brentford,28,DF
68,Kim Jisoo,kr KOR,Premier League,Brentford,19,DF
69,William Saliba,fr FRA,Premier League,Arsenal,22,DF
70,Declan Rice,eng ENG,Premier League,Arsenal,25,MF
71,Bukayo Saka,eng ENG,Premier League,Arsenal,22,FW
72,Martin Ødegaard,no NOR,Premier League,Arsenal,25,MF
73,Ben White,eng ENG,Premier League,Arsenal,26,DF
74,Gabriel Martinelli,br BRA,Premier League,Arsenal,22,FW
75,Gabriel Dos Santos,br BRA,Premier League,Arsenal,26,DF
76,David Raya,es ESP,Premier League,Arsenal,28,GK
77,Oleksandr Zinchenko,ua UKR,Premier League,Arsenal,27,DF
78,Kai Havertz,de GER,Premier League,Arsenal,24,MF
79,Gabriel Jesus,br BRA,Premier League,Arsenal,26,FW
80,Eddie Nketiah,eng ENG,Premier League,Arsenal,24,FW
81,Leandro Trossard,be BEL,Premier League,Arsenal,29,"FW,MF"
82,Takehiro Tomiyasu,jp JPN,Premier League,Arsenal,25,DF
83,Aaron Ramsdale,eng ENG,Premier League,Arsenal,25,GK
84,Jorginho,it ITA,Premier League,Arsenal,32,MF
85,Jakub Kiwior,pl POL,Premier League,Arsenal,23,DF
86,Thomas Partey,gh GHA,Premier League,Arsenal,30,"DF,MF"
87,Fabio Vieira,pt POR,Premier League,Arsenal,23,MF
88,Emile Smith Rowe,eng ENG,Premier League,Arsenal,23,MF
89,Jurriën Timber,nl NED,Premier League,Arsenal,22,DF
90,Reiss Nelson,eng ENG,Premier League,Arsenal,24,"FW,MF"
91,Mohamed Elneny,eg EGY,Premier League,Arsenal,31,MF
92,Bradley Ibrahim,eng ENG,Premier League,Arsenal,19,MF
93,Karl Jakob Hein,ee EST,Premier League,Arsenal,21,GK
94,Myles Lewis-Skelly,eng ENG,Premier League,Arsenal,17,MF
95,Ethan Nwaneri,eng ENG,Premier League,Arsenal,16,MF
96,Charles Sagoe Jr,eng ENG,Premier League,Arsenal,19,FW
97,Cédric Soares,pt POR,Premier League,Arsenal,32,"DF,MF"
98,Reuell Walters,eng ENG,Premier League,Arsenal,19,DF
99,Ezri Konsa,eng ENG,Premier League,Aston Villa,26,DF
100,Ollie Watkins,eng ENG,Premier League,Aston Villa,28,FW
101,John McGinn,sct SCO,Premier League,Aston Villa,29,"MF,FW"
102,Emiliano Martínez,ar ARG,Premier League,Aston Villa,31,GK
103,Douglas Luiz,br BRA,Premier League,Aston Villa,25,MF
104,Lucas Digne,fr FRA,Premier League,Aston Villa,30,DF
105,Boubacar Kamara,fr FRA,Premier League,Aston Villa,24,MF
106,Moussa Diaby,fr FRA,Premier League,Aston Villa,24,"FW,MF"
107,Pau Torres,es ESP,Premier League,Aston Villa,27,DF
108,Matty Cash,pl POL,Premier League,Aston Villa,26,"DF,MF"
109,Diego Carlos,br BRA,Premier League,Aston Villa,30,DF
110,Leon Bailey,jm JAM,Premier League,Aston Villa,26,"MF,FW"
111,Nicolò Zaniolo,it ITA,Premier League,Aston Villa,24,"FW,MF"
112,Youri Tielemans,be BEL,Premier League,Aston Villa,26,"MF,FW"
113,Jacob Ramsey,eng ENG,Premier League,Aston Villa,22,"MF,FW"
114,Clément Lenglet,fr FRA,Premier League,Aston Villa,28,DF
115,Álex Moreno,es ESP,Premier League,Aston Villa,30,DF
116,Leander Dendoncker,be BEL,Premier League,Aston Villa,28,MF
117,Robin Olsen,se SWE,Premier League,Aston Villa,34,GK
118,Tyrone Mings,eng ENG,Premier League,Aston Villa,30,DF
119,Jhon Durán,co COL,Premier League,Aston Villa,20,"FW,MF"
120,Philippe Coutinho,br BRA,Premier League,Aston Villa,31,"MF,FW"
121,Bertrand Traoré,bf BFA,Premier League,Aston Villa,28,"DF,FW"
122,Cameron Archer,eng ENG,Premier League,Aston Villa,22,MF
123,Tim Iroegbunam,eng ENG,Premier League,Aston Villa,20,MF
124,Jaden Philogene Bidace,eng ENG,Premier League,Aston Villa,21,FW
125,Calum Chambers,eng ENG,Premier League,Aston Villa,28,"DF,MF"
126,Omari Kellyman,eng ENG,Premier League,Aston Villa,0,MF
127,Filip Marshall,eng ENG,Premier League,Aston Villa,20,GK
128,Tommi O'Reilly,eng ENG,Premier League,Aston Villa,20,MF
129,Sam Proctor,eng ENG,Premier League,Aston Villa,17,GK
130,James Wright,eng ENG,Premier League,Aston Villa,19,GK
131,Oliwier Zych,pl POL,Premier League,Aston Villa,19,GK
132,Wes Foderingham,eng ENG,Premier League,Sheffield United,33,GK
133,Jack Robinson,eng ENG,Premier League,Sheffield United,30,DF
134,Vinicius Souza,br BRA,Premier League,Sheffield United,24,MF
135,Gustavo Hamer,nl NED,Premier League,Sheffield United,26,MF
136,Cameron Archer,eng ENG,Premier League,Sheffield United,22,"FW,MF"
137,Oliver Norwood,nir NIR,Premier League,Sheffield United,32,MF
138,Jayden Bogle,eng ENG,Premier League,Sheffield United,23,DF
139,Anel Ahmedhodžić,ba BIH,Premier League,Sheffield United,24,DF
140,Auston Trusty,us USA,Premier League,Sheffield United,25,DF
141,James Mcatee,eng ENG,Premier League,Sheffield United,21,MF
142,Luke Thomas,eng ENG,Premier League,Sheffield United,22,DF
143,George Baldock,gr GRE,Premier League,Sheffield United,30,DF
144,Oliver McBurnie,sct SCO,Premier League,Sheffield United,27,FW
145,William Osula,dk DEN,Premier League,Sheffield United,20,"FW,MF"
146,John Egan,ie IRL,Premier League,Sheffield United,31,DF
147,Andre Brooks,eng ENG,Premier League,Sheffield United,20,"MF,DF"
148,Bénie Adama Traore,ci CIV,Premier League,Sheffield United,21,"FW,MF"
149,Chris Basham,eng ENG,Premier League,Sheffield United,35,"DF,MF"
150,Anis Ben Slimane,tn TUN,Premier League,Sheffield United,22,MF
151,Max Lowe,eng ENG,Premier League,Sheffield United,26,"DF,MF"
152,Ben Osborn,eng ENG,Premier League,Sheffield United,29,"DF,MF"
153,Yasser Larouci,dz ALG,Premier League,Sheffield United,23,DF
154,Rhian Brewster,eng ENG,Premier League,Sheffield United,23,"FW,MF"
155,John Fleck,sct SCO,Premier League,Sheffield United,32,"MF,DF"
156,Tom Davies,eng ENG,Premier League,Sheffield United,25,MF
157,Antwoine Hackford,eng ENG,Premier League,Sheffield United,19,FW
158,Sydie Peck,eng ENG,Premier League,Sheffield United,19,MF
159,Ryan One,sct SCO,Premier League,Sheffield United,17,FW
160,Rhys Norrington-Davies,wls WAL,Premier League,Sheffield United,24,DF
161,Jordan Amissah,gh GHA,Premier League,Sheffield United,22,GK
162,Jili Buyabu,eng ENG,Premier League,Sheffield United,22,MF
163,Ismaila Cheick Coulibaly,ml MLI,Premier League,Sheffield United,23,MF
164,Adam Davies,wls WAL,Premier League,Sheffield United,31,GK
165,Louie Marsh,eng ENG,Premier League,Sheffield United,20,FW
166,Femi Seriki,eng ENG,Premier League,Sheffield United,21,DF
167,Fabian Schär,ch SUI,Premier League,Newcastle United,32,DF
168,Bruno Guimarães,br BRA,Premier League,Newcastle United,26,MF
169,Kieran Trippier,eng ENG,Premier League,Newcastle United,33,DF
170,Anthony Gordon,eng ENG,Premier League,Newcastle United,22,FW
171,Miguel Almirón,py PAR,Premier League,Newcastle United,29,FW
172,Dan Burn,eng ENG,Premier League,Newcastle United,31,DF
173,Nick Pope,eng ENG,Premier League,Newcastle United,31,GK
174,Joelinton,br BRA,Premier League,Newcastle United,27,"MF,FW"
175,Sean Longstaff,eng ENG,Premier League,Newcastle United,26,MF
176,Alexander Isak,se SWE,Premier League,Newcastle United,24,FW
177,Jamaal Lascelles,eng ENG,Premier League,Newcastle United,30,DF
178,Lewis Miley,eng ENG,Premier League,Newcastle United,17,MF
179,Sven Botman,nl NED,Premier League,Newcastle United,24,DF
180,Callum Wilson,eng ENG,Premier League,Newcastle United,31,FW
181,Martin Dúbravka,sk SVK,Premier League,Newcastle United,35,GK
182,Valentino Livramento,eng ENG,Premier League,Newcastle United,21,DF
183,Sandro Tonali,it ITA,Premier League,Newcastle United,23,MF
184,Elliot Anderson,sct SCO,Premier League,Newcastle United,21,"MF,FW"
185,Harvey Barnes,eng ENG,Premier League,Newcastle United,26,FW
186,Joe Willock,eng ENG,Premier League,Newcastle United,24,"MF,FW"
187,Jacob Murphy,eng ENG,Premier League,Newcastle United,28,FW
188,Lewis Hall,eng ENG,Premier League,Newcastle United,19,DF
189,Matt Targett,eng ENG,Premier League,Newcastle United,28,DF
190,Matt Ritchie,sct SCO,Premier League,Newcastle United,34,FW
191,Emil Krafth,se SWE,Premier League,Newcastle United,29,DF
192,Ben Parkinson,eng ENG,Premier League,Newcastle United,18,FW
193,Paul Dummett,wls WAL,Premier League,Newcastle United,32,DF
194,Alex Murphy,ie IRL,Premier League,Newcastle United,19,"FW,DF"
195,Amadou Diallo,eng ENG,Premier League,Newcastle United,20,MF
196,Michael Ndiweni,eng ENG,Premier League,Newcastle United,20,FW
197,Mark Gillespie,eng ENG,Premier League,Newcastle United,31,GK
198,Loris Karius,de GER,Premier League,Newcastle United,30,GK
199,Javier Manquillo,es ESP,Premier League,Newcastle United,29,DF
200,Kyle Walker,eng ENG,Premier League,Manchester City,33,DF
201,Julián Álvarez,ar ARG,Premier League,Manchester City,23,"MF,FW"
202,Ederson,br BRA,Premier League,Manchester City,30,GK
203,Phil Foden,eng ENG,Premier League,Manchester City,23,"FW,MF"
204,Rodri,es ESP,Premier League,Manchester City,27,MF
205,Bernardo Silva,pt POR,Premier League,Manchester City,29,"MF,FW"
206,Rúben Dias,pt POR,Premier League,Manchester City,26,DF
207,Erling Haaland,no NOR,Premier League,Manchester City,23,FW
208,Joško Gvardiol,hr CRO,Premier League,Manchester City,21,DF
209,Manuel Akanji,ch SUI,Premier League,Manchester City,28,"DF,MF"
210,Nathan Aké,nl NED,Premier League,Manchester City,28,DF
211,Jeremy Doku,be BEL,Premier League,Manchester City,21,"FW,DF"
212,Mateo Kovačić,hr CRO,Premier League,Manchester City,29,MF
213,Jack Grealish,eng ENG,Premier League,Manchester City,28,FW
214,John Stones,eng ENG,Premier League,Manchester City,29,"DF,MF"
215,Rico Lewis,eng ENG,Premier League,Manchester City,19,"MF,DF"
216,Matheus Nunes,pt POR,Premier League,Manchester City,25,MF
217,Stefan Ortega,de GER,Premier League,Manchester City,31,GK
218,Kevin De Bruyne,be BEL,Premier League,Manchester City,32,MF
219,Oscar Bobb,no NOR,Premier League,Manchester City,20,"FW,MF"
220,Kalvin Phillips,eng ENG,Premier League,Manchester City,28,MF
221,Sergio Gómez,es ESP,Premier League,Manchester City,23,FW
222,Aymeric Laporte,es ESP,Premier League,Manchester City,29,DF
223,Cole Palmer,eng ENG,Premier League,Manchester City,21,MF
224,James Mcatee,eng ENG,Premier League,Manchester City,21,MF
225,Scott Carson,eng ENG,Premier League,Manchester City,38,GK
226,Micah Hamilton,eng ENG,Premier League,Manchester City,20,MF
227,Máximo Perrone,ar ARG,Premier League,Manchester City,21,MF
228,Mahamadou Susoho,es ESP,Premier League,Manchester City,18,DF
229,Jarrod Bowen,eng ENG,Premier League,West Ham United,27,FW
230,Vladimír Coufal,cz CZE,Premier League,West Ham United,31,DF
231,James Ward-Prowse,eng ENG,Premier League,West Ham United,29,MF
232,Emerson Palmieri,it ITA,Premier League,West Ham United,29,DF
233,Tomáš Souček,cz CZE,Premier League,West Ham United,28,MF
234,Lucas Paquetá,br BRA,Premier League,West Ham United,26,"FW,MF"
235,Alphonse Areola,fr FRA,Premier League,West Ham United,30,GK
236,Nayef Aguerd,ma MAR,Premier League,West Ham United,27,DF
237,Kurt Zouma,fr FRA,Premier League,West Ham United,29,DF
238,Edson Álvarez,mx MEX,Premier League,West Ham United,26,MF
239,Michail Antonio,jm JAM,Premier League,West Ham United,33,FW
240,Kudus Mohammed,gh GHA,Premier League,West Ham United,23,"FW,MF"
241,Saïd Benrahma,dz ALG,Premier League,West Ham United,28,"FW,MF"
242,Konstantinos Mavropanos,gr GRE,Premier League,West Ham United,26,DF
243,Pablo Fornals,es ESP,Premier League,West Ham United,27,"MF,FW"
244,Angelo Ogbonna,it ITA,Premier League,West Ham United,35,DF
245,Łukasz Fabiański,pl POL,Premier League,West Ham United,38,GK
246,Aaron Cresswell,eng ENG,Premier League,West Ham United,34,DF
247,Danny Ings,eng ENG,Premier League,West Ham United,31,FW
248,Ben Johnson,eng ENG,Premier League,West Ham United,23,DF
249,Divin Mubama,eng ENG,Premier League,West Ham United,19,FW
250,Thilo Kehrer,de GER,Premier League,West Ham United,27,"DF,MF"
251,Maxwel Cornet,ci CIV,Premier League,West Ham United,27,MF
252,Joseph Anang,eng ENG,Premier League,West Ham United,23,GK
253,Kaelan Casey,eng ENG,Premier League,West Ham United,19,DF
254,Conor Coventry,ie IRL,Premier League,West Ham United,23,MF
255,Levi Laing,eng ENG,Premier League,West Ham United,20,DF
256,Lewis Orford,eng ENG,Premier League,West Ham United,17,MF
257,Conor Gallagher,eng ENG,Premier League,Chelsea,23,MF
258,Thiago Silva,br BRA,Premier League,Chelsea,39,DF
259,Axel Disasi,fr FRA,Premier League,Chelsea,25,DF
260,Levi Colwill,eng ENG,Premier League,Chelsea,20,DF
261,Raheem Sterling,eng ENG,Premier League,Chelsea,29,"FW,MF"
262,Moisés Caicedo,ec ECU,Premier League,Chelsea,22,MF
263,Nicolas Jackson,sn SEN,Premier League,Chelsea,22,FW
264,Robert Sánchez,es ESP,Premier League,Chelsea,26,GK
265,Enzo Fernández,ar ARG,Premier League,Chelsea,23,MF
266,Cole Palmer,eng ENG,Premier League,Chelsea,21,"FW,MF"
267,Malo Gusto,fr FRA,Premier League,Chelsea,20,DF
268,Mykhailo Mudryk,ua UKR,Premier League,Chelsea,23,FW
269,Marc Cucurella,es ESP,Premier League,Chelsea,25,DF
270,Armando Broja,al ALB,Premier League,Chelsea,22,FW
271,Benoît Badiashile,fr FRA,Premier League,Chelsea,22,DF
272,Đorđe Petrović,rs SRB,Premier League,Chelsea,24,GK
273,Reece James,eng ENG,Premier League,Chelsea,24,DF
274,Ben Chilwell,eng ENG,Premier League,Chelsea,27,"DF,MF"
275,Lesley Ugochukwu,fr FRA,Premier League,Chelsea,19,MF
276,Noni Madueke,eng ENG,Premier League,Chelsea,21,FW
277,Carney Chukwuemeka,eng ENG,Premier League,Chelsea,20,MF
278,Ian Maatsen,nl NED,Premier League,Chelsea,21,"FW,MF"
279,Christopher Nkunku,fr FRA,Premier League,Chelsea,26,"MF,FW"
280,Roméo Lavia,be BEL,Premier League,Chelsea,20,MF
281,Deivid Washington,br BRA,Premier League,Chelsea,18,DF
282,Mason Burstow,eng ENG,Premier League,Chelsea,20,FW
283,Alfie Gilchrist,eng ENG,Premier League,Chelsea,20,"DF,FW"
284,Alex Matos,eng ENG,Premier League,Chelsea,19,MF
285,Marcus Bettinelli,eng ENG,Premier League,Chelsea,31,GK
286,Eddie Beach,wls WAL,Premier League,Chelsea,20,GK
287,Lucas Bergström,fi FIN,Premier League,Chelsea,21,GK
288,Joshua Brooking,eng ENG,Premier League,Chelsea,21,DF
289,Leo Castledine,eng ENG,Premier League,Chelsea,18,MF
290,Bashir Humphreys,eng ENG,Premier League,Chelsea,20,DF
291,Diego Moreira,pt POR,Premier League,Chelsea,19,MF
292,Andrey Santos,br BRA,Premier League,Chelsea,19,MF
293,Ronnie Stutter,eng ENG,Premier League,Chelsea,19,FW
294,Morgan Gibbs-White,eng ENG,Premier League,Nottingham Forest,23,"MF,FW"
295,Orel Mangala,be BEL,Premier League,Nottingham Forest,25,MF
296,Matt Turner,us USA,Premier League,Nottingham Forest,29,GK
297,Anthony Elanga,se SWE,Premier League,Nottingham Forest,21,"FW,MF"
298,Murillo,br BRA,Premier League,Nottingham Forest,21,DF
299,Willy Boly,ci CIV,Premier League,Nottingham Forest,32,DF
300,Ola Aina,ng NGA,Premier League,Nottingham Forest,27,DF
301,Ibrahim Sangaré,ci CIV,Premier League,Nottingham Forest,26,MF
302,Moussa Niakhate,sn SEN,Premier League,Nottingham Forest,27,DF
303,Harry Toffolo,eng ENG,Premier League,Nottingham Forest,28,DF
304,Serge Aurier,ci CIV,Premier League,Nottingham Forest,31,"DF,MF"
305,Nicolás Domínguez,ar ARG,Premier League,Nottingham Forest,25,"MF,FW"
306,Ryan Yates,eng ENG,Premier League,Nottingham Forest,26,MF
307,Taiwo Awoniyi,ng NGA,Premier League,Nottingham Forest,26,FW
308,Chris Wood,nz NZL,Premier League,Nottingham Forest,32,FW
309,Danilo,br BRA,Premier League,Nottingham Forest,22,"MF,FW"
310,Callum Hudson-Odoi,eng ENG,Premier League,Nottingham Forest,23,"FW,MF"
311,Odisseas Vlachodimos,gr GRE,Premier League,Nottingham Forest,29,GK
312,Joe Worrall,eng ENG,Premier League,Nottingham Forest,27,DF
313,Scott McKenna,sct SCO,Premier League,Nottingham Forest,27,DF
314,Neco Williams,wls WAL,Premier League,Nottingham Forest,22,"DF,MF"
315,Gonzalo Montiel,ar ARG,Premier League,Nottingham Forest,27,DF
316,Brennan Johnson,wls WAL,Premier League,Nottingham Forest,22,"FW,MF"
317,Cheikhou Kouyaté,sn SEN,Premier League,Nottingham Forest,34,MF
318,Divock Origi,be BEL,Premier League,Nottingham Forest,28,"FW,MF"
319,Felipe,br BRA,Premier League,Nottingham Forest,34,DF
320,Nuno Tavares,pt POR,Premier League,Nottingham Forest,23,DF
321,Andrey Santos,br BRA,Premier League,Nottingham Forest,19,MF
322,Brandon Aguilera,cr CRC,Premier League,Nottingham Forest,20,MF
323,Remo Freuler,ch SUI,Premier League,Nottingham Forest,31,MF
324,Ethan Horvath,us USA,Premier League,Nottingham Forest,28,GK
325,Lewis O'Brien,eng ENG,Premier League,Nottingham Forest,25,MF
326,Andrew Omobamidele,ie IRL,Premier League,Nottingham Forest,21,DF
327,Hwang Ui-jo,kr KOR,Premier League,Nottingham Forest,31,"FW,MF"
328,Bernd Leno,de GER,Premier League,Fulham,31,GK
329,Antonee Robinson,us USA,Premier League,Fulham,26,DF
330,Andreas Pereira,br BRA,Premier League,Fulham,28,MF
331,João Palhinha,pt POR,Premier League,Fulham,28,MF
332,Raúl Jiménez,mx MEX,Premier League,Fulham,32,FW
333,Timothy Castagne,be BEL,Premier League,Fulham,28,DF
334,Willian,br BRA,Premier League,Fulham,35,FW
335,Tim Ream,us USA,Premier League,Fulham,36,DF
336,Calvin Bassey,ng NGA,Premier League,Fulham,24,DF
337,Alex Iwobi,ng NGA,Premier League,Fulham,27,"FW,MF"
338,Harry Wilson,wls WAL,Premier League,Fulham,26,FW
339,Tom Cairney,sct SCO,Premier League,Fulham,32,MF
340,Issa Diop,fr FRA,Premier League,Fulham,27,DF
341,Bobby Reid,jm JAM,Premier League,Fulham,30,FW
342,Harrison Reed,eng ENG,Premier League,Fulham,28,MF
343,Kenny Tete,nl NED,Premier League,Fulham,28,DF
344,Tosin Adarabioyo,eng ENG,Premier League,Fulham,26,DF
345,Saša Lukić,rs SRB,Premier League,Fulham,27,MF
346,Rodrigo Muniz,br BRA,Premier League,Fulham,22,FW
347,Carlos Vinícius,br BRA,Premier League,Fulham,28,FW
348,Luke Harris,wls WAL,Premier League,Fulham,18,MF
349,Fodé Ballo-Touré,sn SEN,Premier League,Fulham,27,DF
350,Adama Traoré,es ESP,Premier League,Fulham,27,"FW,DF"
351,Aleksandar Mitrović,rs SRB,Premier League,Fulham,29,FW
352,Marek Rodák,sk SVK,Premier League,Fulham,27,GK
353,Luc De Fougerolles,ca CAN,Premier League,Fulham,18,DF
354,Matt Dibley-Dias,nz NZL,Premier League,Fulham,19,MF
355,Tyrese Francois,au AUS,Premier League,Fulham,23,MF
356,Kevin Mbabu,ch SUI,Premier League,Fulham,28,DF
357,Jay Stansfield,eng ENG,Premier League,Fulham,21,"FW,MF"
358,Devan Tanton,co COL,Premier League,Fulham,20,DF
359,Guglielmo Vicario,it ITA,Premier League,Tottenham Hotspur,27,GK
360,Pedro Porro,es ESP,Premier League,Tottenham Hotspur,24,DF
361,Son Heung-min,kr KOR,Premier League,Tottenham Hotspur,31,FW
362,Dejan Kulusevski,se SWE,Premier League,Tottenham Hotspur,23,"FW,MF"
363,Destiny Udogie,it ITA,Premier League,Tottenham Hotspur,21,DF
364,Cristian Romero,ar ARG,Premier League,Tottenham Hotspur,25,DF
365,Pape Matar Sarr,sn SEN,Premier League,Tottenham Hotspur,21,MF
366,Yves Bissouma,ml MLI,Premier League,Tottenham Hotspur,27,MF
367,Richarlison,br BRA,Premier League,Tottenham Hotspur,26,FW
368,Micky van de Ven,nl NED,Premier League,Tottenham Hotspur,22,DF
369,Brennan Johnson,wls WAL,Premier League,Tottenham Hotspur,22,FW
370,James Maddison,eng ENG,Premier League,Tottenham Hotspur,27,MF
371,Ben Davies,wls WAL,Premier League,Tottenham Hotspur,30,DF
372,Emerson,br BRA,Premier League,Tottenham Hotspur,25,DF
373,Pierre Højbjerg,dk DEN,Premier League,Tottenham Hotspur,28,MF
374,Giovani Lo Celso,ar ARG,Premier League,Tottenham Hotspur,27,MF
375,Oliver Skipp,eng ENG,Premier League,Tottenham Hotspur,23,"MF,FW"
376,Rodrigo Bentancur,uy URU,Premier League,Tottenham Hotspur,26,MF
377,Manor Solomon,il ISR,Premier League,Tottenham Hotspur,24,FW
378,Bryan Gil,es ESP,Premier League,Tottenham Hotspur,22,"FW,MF"
379,Eric Dier,eng ENG,Premier League,Tottenham Hotspur,30,DF
380,Timo Werner,de GER,Premier League,Tottenham Hotspur,27,FW
381,Ivan Perišić,hr CRO,Premier League,Tottenham Hotspur,34,FW
382,Davinson Sánchez,co COL,Premier League,Tottenham Hotspur,27,DF
383,Alejo Véliz,ar ARG,Premier League,Tottenham Hotspur,20,FW
384,Radu Drăgușin,ro ROU,Premier League,Tottenham Hotspur,21,"DF,MF"
385,Jamie Donley,eng ENG,Premier League,Tottenham Hotspur,19,FW
386,Brandon Austin,eng ENG,Premier League,Tottenham Hotspur,25,GK
387,Alfie Dorrington,eng ENG,Premier League,Tottenham Hotspur,18,DF
388,Fraser Forster,eng ENG,Premier League,Tottenham Hotspur,35,GK
389,Ashley Phillips,wls WAL,Premier League,Tottenham Hotspur,18,DF
390,Yago Santiago,es ESP,Premier League,Tottenham Hotspur,20,"FW,MF"
391,Max Kilman,eng ENG,Premier League,Wolverhampton Wanderers,26,DF
392,Matheus Cunha,br BRA,Premier League,Wolverhampton Wanderers,24,FW
393,Nélson Semedo,pt POR,Premier League,Wolverhampton Wanderers,30,"DF,MF"
394,Craig Dawson,eng ENG,Premier League,Wolverhampton Wanderers,33,DF
395,José Sá,pt POR,Premier League,Wolverhampton Wanderers,31,GK
396,Mario Lemina,ga GAB,Premier League,Wolverhampton Wanderers,30,MF
397,Hwang Hee-chan,kr KOR,Premier League,Wolverhampton Wanderers,27,"FW,MF"
398,João Gomes,br BRA,Premier League,Wolverhampton Wanderers,22,MF
399,Rayan Aït Nouri,dz ALG,Premier League,Wolverhampton Wanderers,22,"DF,MF"
400,Toti Gomes,pt POR,Premier League,Wolverhampton Wanderers,25,DF
401,Pedro Neto,pt POR,Premier League,Wolverhampton Wanderers,23,"MF,FW"
402,Pablo Sarabia,es ESP,Premier League,Wolverhampton Wanderers,31,"FW,MF"
403,Jean-Ricner Bellegarde,fr FRA,Premier League,Wolverhampton Wanderers,25,MF
